City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dudinka,69.4058,86.1778,-23.56,99,97,3.61,RU,1675102630
1,rikitea,-23.1203,-134.9692,25.99,69,15,3.79,PF,1675102514
2,veraval,20.9,70.3667,19.78,42,3,5.28,IN,1675102632
3,mataura,-46.1927,168.8643,11.96,98,90,1.31,NZ,1675102499
4,bluff,-46.6,168.3333,13.81,92,95,2.49,NZ,1675102527
5,hermanus,-34.4187,19.2345,20.45,65,0,9.21,ZA,1675102634
6,kaitangata,-46.2817,169.8464,12.4,96,57,2.1,NZ,1675102635
7,kavieng,-2.5744,150.7967,27.12,79,100,2.8,PG,1675102637
8,quatre cocos,-20.2078,57.7625,25.61,84,99,1.44,MU,1675102638
9,dmitriyevka,54.75,55.3333,-8.25,92,100,7.11,RU,1675102640
10,sao jose da coroa grande,-8.8978,-35.1478,29.01,58,34,4.26,BR,1675102642
11,kapaa,22.0752,-159.319,20.61,92,100,2.68,US,1675102570
12,richards bay,-28.783,32.0377,22.05,86,100,2.22,ZA,1675102643
13,ati,13.2154,18.3353,30.94,10,5,3.67,TD,1675102644
14,mount darwin,-16.7725,31.5838,20.77,85,61,1.86,ZW,1675102645
15,mayo,38.8876,-76.5119,15.84,62,72,1.34,US,1675102646
16,new norfolk,-42.7826,147.0587,15.72,71,73,0.96,AU,1675102614
17,soyo,-6.1349,12.3689,26.3,80,81,3.43,AO,1675102648
18,longyearbyen,78.2186,15.6401,-8.09,67,20,5.14,SJ,1675102606
19,airai,-8.9266,125.4092,16.85,95,100,0.39,TL,1675102500
20,butaritari,3.0707,172.7902,27.18,74,79,10.11,KI,1675102517
21,victoria,22.2855,114.1577,15.69,76,3,4.47,HK,1675102421
22,puerto ayora,-0.7393,-90.3518,28.98,89,91,3.13,EC,1675102439
23,bambous virieux,-20.3428,57.7575,25.68,94,40,1.03,MU,1675102581
24,chokurdakh,70.6333,147.9167,-21.08,98,100,4.67,RU,1675102578
25,eldorado,-23.7869,-54.2836,29.33,60,100,1.88,BR,1675102657
26,vardo,70.3705,31.1107,-2.01,80,75,5.66,NO,1675102605
27,punta arenas,-53.15,-70.9167,12.84,56,67,10.39,CL,1675102367
28,beckley,37.7782,-81.1882,10.87,95,100,4.12,US,1675102564
29,chapais,49.7834,-74.8492,-18.12,84,100,3.33,CA,1675102659
30,guarapari,-20.6667,-40.4975,28.83,75,96,7.73,BR,1675102659
31,east london,-33.0153,27.9116,20.55,85,97,8.31,ZA,1675102660
32,tignere,7.3667,12.65,25.5,18,69,1.7,CM,1675102661
33,ancud,-41.8697,-73.8203,17.72,56,41,2.74,CL,1675102661
34,ilulissat,69.2167,-51.1,-9.99,52,75,4.63,GL,1675102555
35,kloulklubed,7.0419,134.2556,27.49,79,82,4.27,PW,1675102662
36,stornoway,58.2093,-6.3865,6.98,90,75,7.2,GB,1675102663
37,nelson bay,-32.7167,152.15,21.17,93,86,4.02,AU,1675102663
38,ciudad bolivar,8.1222,-63.5497,32.78,28,2,3.76,VE,1675102520
39,kilindoni,-7.9139,39.6668,27.04,79,35,5.92,TZ,1675102664
40,riyadh,24.6877,46.7219,19.08,37,1,4.52,SA,1675102664
41,vaini,-21.2,-175.2,25.09,94,40,2.57,TO,1675102502
42,busselton,-33.65,115.3333,15.96,78,26,5.61,AU,1675102665
43,jamestown,42.097,-79.2353,-0.55,72,100,2.57,US,1675102567
44,tessalit,20.1986,1.0114,19.02,9,85,4.86,ML,1675102594
45,carnarvon,-24.8667,113.6333,23.53,80,2,6.64,AU,1675102528
46,port alfred,-33.5906,26.891,19.54,93,95,1.34,ZA,1675102440
47,tombouctou,20.0,-3.0,19.24,9,87,4.57,ML,1675102667
48,albany,42.6001,-73.9662,2.9,73,80,0.89,US,1675102372
49,barrow,71.2906,-156.7887,-20.99,84,100,8.23,US,1675102593
50,itoman,26.1247,127.6694,11.43,69,40,2.06,JP,1675102668
51,narsaq,60.9167,-46.05,-8.88,78,98,2.79,GL,1675102668
52,severo-kurilsk,50.6789,156.125,-5.21,70,91,11.56,RU,1675102565
53,alice springs,-23.7,133.8833,22.75,94,100,1.54,AU,1675102550
54,atuona,-9.8,-139.0333,25.89,78,18,8.42,PF,1675102669
55,otane,-39.8833,176.6333,18.89,89,100,0.85,NZ,1675102670
56,nikolskoye,59.7035,30.7861,1.94,82,100,5.61,RU,1675102558
57,dattapur,20.7667,78.1667,25.69,36,56,1.73,IN,1675102670
58,kodiak,57.79,-152.4072,4.73,93,100,4.12,US,1675102617
59,zhigansk,66.7697,123.3711,-43.56,96,90,3.21,RU,1675102671
60,lebu,-37.6167,-73.65,17.98,74,9,10.22,CL,1675102548
61,razole,16.4833,81.8333,21.34,88,28,2.18,IN,1675102672
62,bluefields,12.0137,-83.7635,27.05,70,100,4.95,NI,1675102673
63,tiksi,71.6872,128.8694,-32.57,99,94,1.43,RU,1675102673
64,bara,10.3744,10.7288,29.89,15,3,3.02,NG,1675102674
65,noordwijk,52.2411,4.4462,7.23,78,7,7.41,NL,1675102674
66,manavalakurichi,8.1333,77.3,25.54,76,94,2.31,IN,1675102675
67,ahipara,-35.1667,173.1667,19.46,93,100,8.2,NZ,1675102675
68,oussouye,12.485,-16.5469,31.1,21,17,5.03,SN,1675102676
69,mount gambier,-37.8333,140.7667,10.88,93,0,0.19,AU,1675102676
70,korem,12.5058,39.5228,13.18,65,30,1.82,ET,1675102677
71,upernavik,72.7868,-56.1549,-18.5,69,100,1.69,GL,1675102353
72,irbil,36.1926,44.0106,7.9,100,75,1.03,IQ,1675102393
73,selikhino,50.3672,137.4996,-24.43,96,97,3.5,RU,1675102678
74,terney,45.0503,136.6092,-16.59,79,1,5.23,RU,1675102678
75,port elizabeth,-33.918,25.5701,21.29,77,75,6.17,ZA,1675102679
76,rio grande,-32.035,-52.0986,27.06,60,36,5.05,BR,1675102679
77,cape town,-33.9258,18.4232,24.65,46,0,7.2,ZA,1675102503
78,vanavara,60.34,102.2797,-29.26,100,77,1.03,RU,1675102680
79,puksoozero,62.5903,40.6066,-4.51,94,100,5.9,RU,1675102681
80,bethel,41.3712,-73.414,11.37,65,75,0.89,US,1675102607
81,half moon bay,37.4636,-122.4286,8.99,36,0,5.66,US,1675102667
82,norman wells,65.282,-126.8329,-16.98,78,40,8.75,CA,1675102682
83,pula,44.8683,13.8481,3.65,86,0,1.03,HR,1675102683
84,castro,-24.7911,-50.0119,20.67,77,100,3.38,BR,1675102602
85,dikson,73.5069,80.5464,-32.32,94,78,1.38,RU,1675102541
86,harper,4.375,-7.7169,27.66,73,72,3.03,LR,1675102685
87,thompson,55.7435,-97.8558,-26.91,76,0,4.12,CA,1675102686
88,saint-augustin,51.226,-58.6502,-9.92,80,98,3.89,CA,1675102689
89,buala,-8.145,159.5921,26.37,77,91,3.04,SB,1675102691
90,aranos,-24.1333,19.1167,24.56,49,76,11.7,NA,1675102692
